,Motility_Index_final
Motility_Index_final,1.0
Cap_Sperm_final,0.9999998920054788
Motility_Index_mean,0.999430298292656
Motility_Index_max,0.748698388977003
k_bind,0.44085777504752655
k_unbind,0.429073975813479
cAMP_High_final,0.27418128094341876
Active_PKA_final,0.1750772259054647
Ca_High_final,0.1749680216545799
k_df_block,0.005095531063875562
k_cAMP_boost,0.0002955634424879647
